Deparment,Club Name,외국인 가입 가능 여부,영어설명,소개,eng_description,club_id
문화분과,하늬울림,X,,,,
Culture Division,INUO,O,Orchestra Club,"인천대학교 오케스트라 (Incheon National University Orchestra, INUO)는 클래식 음악과 연주에 대한 열정을 가진 학생들이 모여 2016년에 창단된 인천대학교의 오케스트라 동아리입니다. 창단 이래 INUO는 매년 열리는 정기연주회와 실력향상연주회 등의 내부공연 그리고 다양한 외부 공연을 통해 활발한 활동을 이어오고 있습니다. 이러한 공연을 통해 단원들은 음악적 역량을 키우며 무대 경험을 쌓고 있습니다. 또한 대학연합오케스트라를 발판으로 인천 지역의 다른 대학 오케스트라들과의 연합 공연 등을 통해 음악적 교류와 발전을 추구하고 있습니다. 열정적이고 실력 있는 단원들이 서로의 음악적 성장을 돕고자 하는 이곳은, 음악을 사랑하는 누구에게나 열려있습니다.

 정기연주회는 INUO의 가장 중요한 연례 행사로, 동아리 단원들뿐만 아니라 졸업한 선배들과 타 대학 학생들이 객원으로 함께하는 대규모 무대입니다. 매해 수준 높은 연주로 관객들에게 깊은 인상을 남기며, INUO의 음악적 역량과 열정을 보여주는 뜻깊은 자리입니다. 이 연주회는 단원들이 서로의 기량을 높이고, 동문 및 타 학교와 음악적 교류를 넓히는 소중한 기회이기도 합니다.

 실력향상연주회는 INUO 단원이라면 누구나 참여할 수 있는 무대로, 악기를 배운 지 얼마 되지 않은 신입 단원들도 자신의 성장을 직접 무대에서 경험할 수 있는 기회입니다. 연주 실력에 상관없이 모든 단원이 함께 모여 연습하고 공연하며, 서로 격려하고 음악적 자신감을 키워가는 자리입니다.

 대학연합오케스트라는 INUO를 이끌어주시는 벤킴 지휘자님께서 주최하시는 프로그램으로, 인천 지역 여러 대학의 오케스트라가 한데 모여 협력하며 연주하는 특별한 기회입니다. 이 프로그램을 통해 각 대학의 학생들이 한 무대에서 함께 연주하며 음악적 기량을 공유하고, 다양한 스타일과 경험을 쌓아가며 성장할 수 있습니다. 또한, 지역사회를 위한 공연을 통해 음악의 즐거움과 감동을 함께 나누며, 대학 간의 유대감을 돈독히 하고 있습니다.

 INUO는 연주 활동 외에도 MT, 단체 공연 관람, 연주후 뒷풀이 등 다양한 친목 활동을 통해 단원들이 서로 소통하고 교류할 수 있는 시간을 마련하고 있습니다. 다양한 활동들을 바탕으로 유대감을 형성하고 있습니다. 동아리에 들어가서 적응할 수 있을까 주저하지 않으셔도 됩니다!!","Incheon National University Orchestra (INUO) is an orchestra club at Incheon National University founded in 2016 by students with a passion for classical music and performance. Since its founding, INUO has been actively performing through internal performances such as regular concerts and performances to improve skills held every year, as well as various external performances. Through these performances, members develop their musical skills and gain stage experience. In addition, using the University Orchestra as a stepping stone, the club pursues musical exchange and development through joint performances with other university orchestras in the Incheon area. This place, where passionate and talented members help each other grow musically, is open to anyone who loves music. 

The regular concert is INUO’s most important annual event, a large-scale stage where not only club members but also alumni and students from other universities participate as guests. It is a meaningful place that leaves a deep impression on the audience with high-level performances every year and shows INUO’s musical skills and passion. This concert is also a valuable opportunity for the members to improve their skills and expand musical exchanges with alumni and other schools. 

The Skill Improvement Concert is a stage that any INUO member can participate in, and it is an opportunity for new members who have not learned an instrument for long to experience their own growth on stage. Regardless of their playing skills, all members gather together to practice and perform, encourage each other, and build musical confidence. 

The University Union Orchestra is a program hosted by Conductor Ben Kim, who leads INUO, and is a special opportunity for orchestras from various universities in the Incheon area to come together and perform together. Through this program, students from each university can perform together on one stage, share their musical skills, and grow while gaining various styles and experiences. In addition, through performances for the local community, they share the joy and emotion of music and strengthen the bond between universities. 

In addition to performance activities, INUO also provides time for members to communicate and interact with each other through various social activities such as MT, group performance viewing, and after-performance parties. A sense of unity is formed based on various activities. Don't hesitate to join the club and see if you can adapt!!",1
Culture Division,IUDC,O,Dance Club,"IUDC는 K-POP! HIPHOP! 등 장르에 제한을 두지 않고 모든 장르의 춤을 사랑하는 댄스 동아리입니다!
대학생활의 하이라이트인 OT, 축제, 정기공연과 같은 큰 무대에서 공연 및 영상촬영을 하고 또한 외부 찬조 공연이나 직접 영상을 촬영하여 다양한 SNS, 유튜브에 업로드합니다!

대형 동아리이기 때문에 대학생활에서 쉽게 접할 수 없는 사람들을 만나면서 폭 넓은 교류를 할 수도 있고 무대와 영상 등을 찍기 때문에 잊지 못할 추억을 만들 수도 있습니다.

무엇보다! 꿈꿔왔던 대학생활을 실현할 수 있습니다!","IUDC is a dance club that loves all genres of dance, not limited to K-POP! HIPHOP! etc. 

We perform and film on big stages such as OT, festivals, and regular performances, which are the highlights of college life, and also film external support performances or videos ourselves and upload them to various SNS and YouTube! 

Because it is a large club, you can meet people you don't easily meet in college life, have a wide range of interactions, and make unforgettable memories by filming on stage and in videos. 

Above all! You can realize the college life you've been dreaming of!",2
문화분과,인스디스,X,,,,
Culture Division,인인극회,O,Theater Club,"지금 바로 당신의 연극 여정을 시작해보세요!

인인극회는 1981년에 창립되어 매년 정기공연과 워크샵공연을 성공적으로 올리고 있습니다.

인인극회는 연극의 매력과 가치를 전파하고, 학내와 지역사회의 문화예술 발전에 기여하는 것을 목표로 하고 있습니다. 동아리 구성원들은 열정과 예술적인 재능을 갖춘 학우들로 이루어져 있으며, 다양한 연극 장르와 스타일을 실험하고 탐구하는데 주력하고 있습니다.

매년 정기공연을 통해 학내에 창의적이고 흥미로운 연극 작품을 선보이고 있습니다. 폭넓은 주제와 장르를 다루며, 고전부터 현대까지 시대를 아우르는 작품을 자체적으로 기획하고 연출합니다. 이를 통해 동아리 구성원들은 연기력과 연출력을 발전시킴과 동시에 관객들에게 깊은 감동과 즐거움을 선사하고 있습니다.

또한, 워크샵공연을 통해 동아리 구성원들은 자신의 연극적인 역량을 더욱 향상시킬 수 있는 기회를 제공합니다. 워크샵은 작품 제작 과정에서 실험과 탐구를 도모하며, 새로운 아이디어와 접근방식을 발전시키는 중요한 플랫폼으로 활용하고 있습니다.

우리의 동아리는 단지 관람자가 아닌 참여자로서 여러분을 기다립니다. 여기에서 당신은 연극의 세계를 자유롭게 탐험하고, 예술적인 역량을 향상시킬 수 있습니다. 무대 위에서 당신의 열정과 재능을 발휘하면서 동시에 동료들과의 협업과 소통을 경험할 수 있습니다.

인인극회의 무대 위에서 여러분을 기다리겠습니다.","Start your theater journey right now! 

Founded in 1981, Inin Theater Society has been successfully holding regular performances and workshop performances every year. 

Inin Theater Society aims to spread the charm and value of theater and contribute to the development of culture and arts on campus and in the local community. The club members are passionate and artistically talented students, and they focus on experimenting and exploring various theater genres and styles. 

Through regular performances every year, we present creative and interesting theater works to the school. We cover a wide range of topics and genres, and we plan and direct works that span from classical to modern times. Through this, the club members develop their acting and directing skills, while also providing deep emotion and enjoyment to the audience. 

In addition, through workshop performances, the club members provide opportunities to further improve their theater skills. The workshops encourage experimentation and exploration during the production process, and are used as an important platform to develop new ideas and approaches. 

Our club awaits you as a participant, not just a spectator. Here, you can freely explore the world of theater and improve your artistic abilities. You can experience collaboration and communication with your colleagues while demonstrating your passion and talent on stage. 

We are waiting for you on the stage of Inin Theater.",3
Culture Division,포크라인,O,Band Club,"어쿠스틱 밴드 포크라인
바쁜 일상 중에 조그마한 휴식처를 찾고 있는 인천대 학생 여러분

안녕하세요! 우리는 인천대학교 어쿠스틱 밴드 포크 라인입니다.
포크라인은 1983년 순수음악 창작, 어쿠스틱 동아리에서 시작하여 41년 동안 72회 정기공연, KTX 후원, 외부 행사, 교내 버스킹 행사 등 많은 이력을 가지고 있습니다.

한 학기에 개강 총회, MT, 방학 프로젝트 공연, 정기 공연 (발표회), 공연 뒤풀이 등등 구체적으로 학기를 기획하고 있습니다.

음악은 남녀노소, 나이 상관없이 누구나 이해하고, 공유할 수 있는 문화입니다.
동아리에 와서 기타를 배우고, 노래를 같이 부르며 다 같이 즐길 수 있는 것이 차갑게 굳어버린 이 세상에서 살 수 있는 방법 아닐까요?

이번 2023년 우리 포크라인은 41기 신입생을 모집하고 있습니다.
포크라인과 함께 이 무대에 주인공이 되어주세요.","Acoustic Band Folkline 
Students of Incheon National University looking for a small resting place in their busy daily lives 

Hello! We are Folkline, the acoustic band of Incheon National University. 
Folkline started in 1983 as a pure music creation and acoustic club, and has a long history of 72 regular performances, KTX sponsorship, external events, and on-campus busking events over the past 41 years. 

We plan each semester specifically, including an opening ceremony, MT, vacation project performance, regular performance (presentation), and after-performance party. 

Music is a culture that anyone can understand and share, regardless of gender or age. 

Wouldn't coming to the club, learning guitar, singing together, and enjoying it all be a way to live in this cold, frozen world? 

This year, in 2023, Folkline is recruiting its 41st freshmen. 

Be the main character on this stage with Folkline.",4
문화분과,파이오니아,X,,,,
Culture Division,젊은영상,O,Video Production Club,"우리 동아리는 1985년 3월에 '씨네마'라는 이름으로 태어났으며, 그 후 1988년 3월에 '젊은 영상'으로 이름을 바꾸었습니다.

우리 동아리는 그동안 매년 '젊은 영상 영화제' 와 '창작 영화제'를 열었습니다.

'젊은 영상 영화제'에서는 여러분이 평소에 접하기 어려웠던 영화들을 하나의 주제에 따라 묶어서 상영하였습니다.

1999년에는 ""인생은 아름다워"" (희-노-애-락) 이라는 주제로 '비밀의 화원, 귀를 기울이면, 애수, 샤이닝' 등의 작품을 상영하였습니다.

'창작 영화제'는 말 그대로 저희가 직접 만든 영화를 상영하는 영화제입니다.

영화를 사랑하는 사람들의 모임으로서 창작에 대한 열정으로 만들어낸 단편영화를 보여드립니다.

시나리오, 촬영, 조명, 연기, 연출에 이르기까지 거의 모든 부분을 우리 동아리 사람들이 맡음으로서 영화 제작의 즐거움을 배울수 있습니다.

영화를 좋아한다면 누구든지 찾아주세요~","Our club was born in March 1985 under the name of 'Cinema', and later changed its name to 'Young Film' in March 1988. 

Our club has held the 'Young Film Festival' and the 'Creative Film Festival' every year. 

At the 'Young Film Festival', we screened films that you may not normally have access to, grouped by theme. 

In 1999, we screened 'Secret Garden', 'Listen Up', 'Sorrow', and 'Shining' under the theme of 'Life is Beautiful' (희-노-애-락). 

The 'Creative Film Festival' is a film festival where we screen films that we made ourselves. 

As a gathering of people who love movies, we show short films created with passion for creation. 

You can learn the joy of filmmaking as our club members take charge of almost every aspect, from scenarios, filming, lighting, acting, and directing. 

Anyone who likes movies, come visit us~
",5
문화분과,울림,X,,,,
Culture Division,함성,O,Band Club,"함성은 인천대학교 중앙동아리 문화부 소속의 동아리로, 1988년에 만들어져 2023년 현재 34년 역사를 가진 유서 깊은 동아리입니다.

2022년에는 인천대학교 신입생 오리엔테이션 공연, 여름 축제 공연을 비롯해 인천 지역 대학생들을 대상으로 한 연수 버스커즈 공연 등에 섰으며, 학교 축제 무대와 인천 대학생 밴드 연합 동아리 공연 활동을 진행해 왔습니다. 1학기에는 학교 소극장, 2학기에는 서울 프리즘 홀을 대관하여 정기 공연을 진행하였습니다. 2023년에는 버스킹 및 여름 축제 공연을 진행하였고 여름에 2차례의 정기 공연이 예정되어 있습니다.

함성은 연주 경력이 없어도 배우고자 하는 의지와 열정만 있다면 누구에게나 열려 있습니다.","Hamsung is a club belonging to the Cultural Department of the Central Club at Incheon University. Established in 1988, it has a rich history of 34 years as of 2023.

In 2022, the club performed at the Incheon University freshman orientation event, summer festival performances, and busker shows targeting university students in the Incheon area. It has also participated in school festival stages and activities with the Incheon university student band union. Regular performances were held in the school's small theater in the first semester and at the Seoul Prism Hall in the second semester. In 2023, Hamsung conducted busking and summer festival performances, with two regular performances scheduled for the summer.

Hamsung is open to anyone who has the willingness and passion to learn, regardless of their performance experience.",6
